date,AZN_USD,brent_price,oil_change,oil_volatility,oil_ma3,oil_ma12,oil_regime
2019-01-01,1.7,60.12190500895182,,,,,Low ($40-70)
2019-02-01,1.7,64.2763153879266,6.909977949561341,,,,Low ($40-70)
2019-03-01,1.7,67.02761949811664,4.280432214549168,,63.808613298331686,,Low ($40-70)
2019-04-01,1.7,71.62857237316314,6.864264178702895,,67.64416908640213,,Medium ($70-90)
2019-05-01,1.7,70.31181820956144,-1.838308540817779,,69.6560033602804,,Medium ($70-90)
2019-06-01,1.7,63.03800010681152,-10.345086058037356,,68.32613022984536,,Low ($40-70)
2019-07-01,1.7,64.25636395541105,1.9327450847665295,6.590496765333715,65.868727423928,,Low ($40-70)
2019-08-01,1.7,59.501818050037734,-7.399338544385426,6.74200243765405,62.265394037420094,,Low ($40-70)
2019-09-01,1.7,62.468499946594235,4.9858676487190445,6.8593951410501806,62.075560650681005,,Low ($40-70)
2019-10-01,1.7,59.632173289423406,-4.540411022508417,5.7450405822725985,60.53416376201846,,Low ($40-70)
2019-11-01,1.7,62.65149974822998,5.063250745788417,6.617029002176187,61.58405766141587,,Low ($40-70)
2019-12-01,1.7,65.17380886986142,4.025935742588027,5.348764685543815,62.48582730250493,64.17403287034075,Low ($40-70)
2020-01-01,1.7,63.5999999273391,-2.414787427361953,5.438515715730399,63.80843618181016,64.46387411353969,Low ($40-70)
2020-02-01,1.7,55.362105319374486,-12.95266449272977,7.144946669299541,61.37863803885833,63.72102327449368,Low ($40-70)
2020-03-01,1.7,33.72909112410112,-39.07549048302303,16.41981743004821,50.89706545693823,60.94614590999239,Very Low (<$40)
2020-04-01,1.7,26.63142867315383,-21.043147663933503,17.031719046851588,38.5742083722098,57.19638393499161,Very Low (<$40)
2020-05-01,1.7,32.256000232696536,21.12005190773949,20.896033922781793,30.872173343317154,54.025065770252866,Very Low (<$40)
2020-06-01,1.7,40.77272727272727,26.403543460412337,25.124480428840815,33.22005205952587,52.16962636741251,Low ($40-70)
2020-07-01,1.7,43.24136369878595,6.05462668598562,25.510827936107894,38.75669706806991,50.41837634602709,Low ($40-70)
2020-08-01,1.7,45.01999991280692,4.11327502622425,25.161507983697017,43.0113636281067,49.21155816792452,Low ($40-70)
2020-09-01,1.7,41.86714299519857,-7.003236169957095,17.562280562757927,43.37616886893047,47.49477842197488,Low ($40-70)
2020-10-01,1.7,41.524091026999734,-0.8193823214499685,12.899719102009565,42.80374464500173,45.98577156677291,Low ($40-70)
2020-11-01,1.7,43.78900012969971,5.454445953379894,11.271335485147512,42.39341138396599,44.413896598562054,Low ($40-70)
2020-12-01,1.7,50.218181956898086,14.682184585525192,7.271483440594414,45.17709103786583,43.16759435581511,Low ($40-70)
2021-01-01,1.7,55.35157916420385,10.222188472915494,7.721148099879544,49.7862537502672,42.48022595888717,Low ($40-70)
2021-02-01,1.7,62.22789423089279,12.422979019785373,8.368596875428985,55.93255178399823,43.052375034847024,Low ($40-70)
2021-03-01,1.7,65.70217381352964,5.58315466974626,5.643058203260299,61.09388240287541,45.716798592299405,Low ($40-70)
2021-04-01,1.7,65.32857150123233,-0.5686300629224705,5.565751515933237,64.41954651521824,48.941560494639276,Low ($40-70)
2021-05-01,1.7,68.25849990844726,4.4849111803396235,5.6664179746504075,66.4297484077364,51.94176880095185,Low ($40-70)
2021-06-01,1.7,73.40818162397905,7.544381611724349,4.578530398020813,68.9984176778862,54.66138999688949,Medium ($70-90)
2021-07-01,1.7,74.15714336576916,1.0202701186994956,4.668794981842787,71.94127496606514,57.23770496913809,Medium ($70-90)
2021-08-01,1.7,70.51363615556197,-4.913224869296984,4.580035154435341,72.6929870484367,59.36217465603434,Medium ($70-90)
2021-09-01,1.7,75.0028559366862,6.366456228722139,4.705481944110856,73.22454515267243,62.12348406782498,Medium ($70-90)
2021-10-01,1.7,83.74619038899739,11.65733536825837,5.737235471557221,76.42089416041517,65.64199234799146,Medium ($70-90)
2021-11-01,1.7,80.78428540910993,-3.5367638409932955,6.575689047581787,79.84444391159782,68.72493278794231,Medium ($70-90)
2021-12-01,1.7,74.74318140203303,-7.47806826102797,7.326908192692764,79.75788573338009,70.76868274170356,Medium ($70-90)
2022-01-01,1.7,85.52699966430664,14.427828813265208,9.291423654226735,80.35148882514986,73.28330111671211,Medium ($70-90)
2022-02-01,1.7,94.03368457994964,9.946198216974423,8.806768974827582,84.76795521542975,75.93378364580019,High (>$90)
2022-03-01,1.7,112.46304420802905,19.598678612248086,10.618551378216898,97.34124281742844,79.8305228453418,High (>$90)
2022-04-01,1.7,105.91699981689453,-5.820618174825443,11.582475277530952,104.13790953495773,83.21289187164699,High (>$90)
2022-05-01,1.7,111.4971429734003,5.268411271233631,10.894446719770487,109.95906233277462,86.81611212705974,High (>$90)
2022-06-01,1.7,117.66381000337147,5.530784794586485,8.764146054889649,111.69265093122209,90.50408115867577,High (>$90)
2022-07-01,1.7,104.70499954223632,-11.013420745736369,10.994867435586569,111.28865083966934,93.04973584004803,High (>$90)
2022-08-01,1.7,97.74086894159731,-6.651192045351939,11.25969113266517,106.70322616240169,95.31867190555097,High (>$90)
2022-09-01,1.7,90.32476116362072,-7.58751979421004,7.026047905062176,97.59020988248477,96.59549734112886,High (>$90)
2022-10-01,1.7,93.59380958193825,3.6192162328508637,7.416024947906248,93.88647989571875,97.41613227387393,High (>$90)
2022-11-01,1.7,91.11428578694661,-2.6492390961187384,6.560620492703008,91.67761884416852,98.27696563869365,High (>$90)
2022-12-01,1.7,81.3414284842355,-10.725933061213999,5.549883588299408,88.68317461770675,98.82681956221053,Medium ($70-90)
2023-01-01,1.7,83.87900009155274,3.119654590045773,5.900443968707581,85.44490478757827,98.68948626448105,Medium ($70-90)
2023-02-01,1.7,83.50947329872533,-0.44054744623097664,5.77614057631289,82.90996729150451,97.81246865771233,Medium ($70-90)
2023-03-01,1.7,79.2069562829059,-5.152130465999583,5.41680632005981,82.19847655772797,95.04112799728541,Medium ($70-90)
2023-04-01,1.7,83.36894788240132,5.254578378987196,5.786905155085584,82.0284591546775,93.16212366941097,Medium ($70-90)
2023-05-01,1.7,75.63227358731356,-9.280043099501455,6.569618385587832,79.40272591754025,90.17338455390374,Medium ($70-90)
2023-06-01,1.7,74.92571367536273,-0.9342042469940415,5.3266466152355845,77.97564504835918,86.61187652656969,Medium ($70-90)
2023-07-01,1.7,80.35549964904786,7.246892565096208,6.197378622956141,76.97116230390805,84.58275153547065,Medium ($70-90)
2023-08-01,1.7,85.10434756071672,5.909798249540388,6.738618845576766,80.1285202950424,83.52970808706394,Medium ($70-90)
2023-09-01,1.7,92.76649932861328,9.003243650308335,6.83806852858381,86.07544884612594,83.73318626747998,High (>$90)
2023-10-01,1.7,88.70409115878019,-4.379175887022035,7.281877052121877,88.85831268270339,83.32570973221682,Medium ($70-90)
2023-11-01,1.7,82.02772730047053,-7.52655686011029,6.792988765055337,87.83277259595464,82.56849652501047,Medium ($70-90)
2023-12-01,1.7,77.32399978637696,-5.734314077560199,7.40007112945684,82.68527274854254,82.23371080018893,Medium ($70-90)
